participant;percentage;time;pos_x_right;pos_y_right;dil_right;pos_x_left;pos_y_left;dil_left;brightness;fov;trial;;
Marion;30;1.42;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.44;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.46;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.48;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.5;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.52;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.54;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.56;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.58;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.6;0;0;-1;0;0;-1;1;-1;1;;
Marion;30;1.62;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.64;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.66;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.68;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.7;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.72;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.74;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.76;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.78;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.8;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.82;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.84;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.86;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.88;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.9;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.92;0;0;-1;0;0;-1;1;-1;1;;
Marion;30;1.94;0;-0.125;-1;0;-0.125;-1;1;-1;1;;
Marion;30;1.96;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;1.98;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.02;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.04;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.06;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.08;0;-0.125;-1;0;-0.125;-1;1;-1;1;;
Marion;30;2.1;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.12;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.14;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.16;0;0;-1;0;0;-1;1;-1;1;;
Marion;30;2.18;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.2;-0.5;-0.5;-1;-0.5;-0.5;-1;1;-1;1;;
Marion;30;2.22;0;0.0625;-1;0;0.0625;-1;1;-1;1;;
